File Name,Variable Name,Brief Description,Variable Type,Variable Length,Values,Required ,Null Value
Dataset One NEMS-C,ID_date,Date of interview,Date,255,month/day/year,Yes,No
Dataset One NEMS-C,Q1,Store ID,Varchar,255,c001-c091,Yes,No
Dataset One NEMS-C,Q2,Number of cash registers,Integer,255,1-6,No,Yes
Dataset One NEMS-C,Q3,Sell gas,Integer,255,"1=yes, 2=no",No,Yes
Dataset One NEMS-C,Q4,Sell prepared hot food,Integer,255,"1=yes, 2=no",No,Yes
Dataset One NEMS-C,Q5_1,Available skim milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q5_2,Available 1% milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q5_3,Available 2% milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q5_4,Available whole milk,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q5_5,Available milk none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q6a,Price lowest fat milk 1/2 gallon,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q6b,Price lowest fat milk gallon,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q6c,Price whole milk 1/2 gallon,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q6d,Price whole milk gallon,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q7,Milk brand,Integer,255,"1=store, 2=other",No,Yes
Dataset One NEMS-C,Q7a,Specify other milk brand,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q8,Shelf space milk,Integer,255,"1=less than 25%, 2=25% to 49%, 3=50% to 74%, 4=at least 75%",No,Yes
Dataset One NEMS-C,Q9_1,Available fresh fruit banana,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_2,Available fresh fruit apple,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_3,Available fresh fruit orange,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_4,Available fresh fruit grape,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_5,Available fresh fruit cantaloupe,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_6,Available fresh fruit peach,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_7,Available fresh fruit strawberry,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_8,Available fresh fruit honey dew melon,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_9,Available fresh fruit watermelon,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q9_10,Available fresh fruit pear,Integer,255,"0=not selected, 1=selected",No,Yes
