ID_date,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4a,Q4b,Q4c,Q4d,Q5,Q5a,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q8a,Q8b,Q9a,Q9b,Q10,Q11a,Q11b,Q12a,Q12b,Q13,Q14,Q14a,Q15a,Q15b,Q16a,Q16b,Q17,Q18,Q18a,Q19a,Q19b,Q20a,Q20b,Q21,Q22,Q22a,Q23a,Q23b,Q24a,Q24b,Q25,Q26a,Q26b,Q27a,Q27b,Q28,Q29a,Q29b,Q30a,Q30b,Q31,Q32a,Q32b,Q33a,Q33b,Q34,Q35a,Q35b,Q36a,Q36b,Q37,Q38,Q38a,Q39a,Q39b,Q40a,Q40b,Q41,Q42,Q42a,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q44a,Q44b,Q45a,Q45b,Q46,Q47a,Q47b,Q48a,Q48b,Q49,Q50,Q50a,Q51a,Q51b,Q52a,Q52b,Q53,Q54a,Q54b,Q55a,Q55b,Q56,Q57a,Q57b,Q58a,Q58b,Q59,Q60,Q60a,Q61a,Q61b,Q62a,Q62b,Q63,Q64a,Q64b,Q65a,Q65b,Q66,Q67a,Q67b,Q68a,Q68b,Q69,Q70,Q70a,Q71a,Q71b,Q72a,Q72b,Q73,Q74,Q74a,Q75a,Q75b,Q76a,Q76b,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78a,Q78b,Q79,Q79a,Q79b,Q80,Q80a,Q80b,Q81,Q81a,Q81b,Q82,Q83_1,Q83_2,Q83_3,Q83_4,Q83_5,Q83a,Q83b,Q83c,Q83d,Q83e,Q83f,Q84,Q84a,Q84b,Q84c,Q84d,Q84e,Q84f,Q85,Q85a,Q85b,Q85c,Q85d,Q85e,Q85f,Q86,Q86a,Q86b,Q86c,Q86d,Q86e,Q86f,Q87,Q88_1,Q88_2,Q88_3,Q88_4,Q88_5,Q89,Q89a,Q89b,Q89c,Q89d,Q90,Q90a,Q90b,Q90c,Q90d,Q91,Q91a,Q91b,Q91c,Q91d,Q92,Q92a,Q92b,Q92c,Q92d,Q93,Q93a,Q93b,Q93c,Q93d,Q94,Q94a,Q94b,Q94c,Q94d,Q95,Q95a,Q95b,Q95c,Q95d,Q96,Q96a,Q96b,Q96c,Q96d,Q97,Q97a,Q97b,Q97c,Q97d,Q98,Q98a,Q98b,Q98c,Q98d,Q99,Q99a,Q99b,Q99c,Q99d,Q100,Q100a,Q100b,Q100c,Q100d,Q101,Q102_1,Q102_2,Q102_3,Q102_4,Q102_5,Q102_6,Q102a,Q102b,Q102c,Q102d,Q103,Q103a,Q103b,Q103c,Q103d,Q104,Q104a,Q104b,Q104c,Q104d,Q105a,Q106,Q106a,Q106b,Q106c,Q106d,Q107,Q107a,Q107b,Q107c,Q107d,Q108,Q109_1,Q109_2,Q109_3,Q109_4,Q109_5,Q109_6,Q109_7,Q109_8,Q109a,Q109b,Q110,Q110a,Q110b,Q111,Q111a,Q111b,Q112,Q112a,Q112b,Q113,Q114a,Q114b,Q114c,Q115,Q116a,Q116b,Q116c,Q117,Q118a,Q118b,Q118c,Q119,Q120_1,Q120_2,Q120_3,Q121a,Q122a,Q122b,Q123a,Q124,Q125a,Q126a,Q126b,Q127,Q128_1,Q128_2,Q128_3,Q129a,Q130a,Q130b,Q131a,Q132,Q133a,Q134a,Q134b,Q135,Q136_1,Q136_2,Q136_3,Q137a,Q138a,Q138b,Q139a,Q140,Q141a,Q142a,Q142b,Q143,milk_score,fv_score,meat_score,frozdin_score,bgood_score,bev_score,bread_score,chip_score,cereal_score,avail_score,price_score,qual_score,total_score
4/4/2016,g001,7,1,1,1,1,0,2.09,3.99,2.09,3.99,2,LuVel,2,1,1,1,1,1,0,1,0,0,1,0,1,1,2,0.52,,1,2,1,1,,1,,1,2,1,1,,1,,1,1,2,1.98,,1,,1,1,1,1.98,,,,,,,2,2,2,2.5,,,,,,,,,,,,,,2,1,2,1.89,,1,,1,1,1,1,1,0,1,1,1,1,0,1,1,2,0.89,,1,1,2,1.49,,1,,1,1,2,0.89,,1,1,2,1.49,,1,1,1,1.49,,1,,,,,,,1,1,1,0.98,,1,1,1,0.69,,1,,1,1,2,0.59,,1,,1,1,1,2.99,,0,0,0,1,0,,,,,,,,,,4.47,20,,0,0,1,1,0,,,,,,,,,,,,,,,1.99,16,10,7,90,410,Oscar Mayer Classic Wieners,4.43,15,8,15,180,570,Bryan Beefy Jumbo's Frank,1,1,0,0,0,1,,,,,Do not sale,,,,,Do not sale,3.45,9,7,240,9 3/8 oz,3.59,11,12,360,10 1/2 oz,,,,,Do not sale,3.59,9,17,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,2.5,6,2,210,,,,,,,,,,,,,1.39,1,8,200,Serving size 1/2,,,,,,1,1,1,1,1,1,1,0,5.29,,,,,,5.29,,,,,,1,4.89,,,2,4.75,,,2,1.89,,,1,1,0,1,1,2.5,2,,3,1,1.99,Colonial Bread,0,1,0,,,,,,1,1,3.29,,1,1,0,1,1,4.25,3,,1,1,4.49,12 1/4 oz Honey Nut,3,9,3,3,4,3,1,0,5,17,9,5,31
3/29/2016,g002,14,1,1,1,1,0,1.99,3.75,1.99,3.75,1,,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.59,,1,1,2,1.49,,1,,1,3,1,0.99,,1,,1,1,2,2.99,,1,,1,1,1,2.19,,1,1,2,2.49,,1,2,2,5,,1,1,1,4.99,,1,1,1,6.99,,1,,1,1,2,1.69,,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.69,,1,1,2,2.99,,1,,1,1,2,0.59,,1,1,2,0.99,,1,1,1,0.99,,1,,1,4,1,1,,1,1,1,1.89,,1,1,1,0.59,,1,,1,1,2,0.49,,1,,1,1,1,2.99,,0,1,1,1,0,,,,6.49,10,,5.99,15,,5.49,20,,0,1,1,0,0,,,,,,,,3.49,15,8,13,160,480,,2.69,16,10,7,90,410,Oscar Mayer Classic Wieners,,,,,,,,1,1,0,0,0,2,2.19,11,8,320,10 1/2 oz,2.69,9,4,260,9 3/4 oz,2.69,9,7,240,9 3/8 oz,2.79,10,19,420,,3.29,16,10,390,,3.29,9,17,350,9 7/8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,2.99,5,2,250,,,,,,,,,,,,,3.49,4,25,470,,,,,,,1,0,1,0,1,1,1,0,4.99,,,,,,4.99,,,,,,2,3.99,,,1,3.49,,,1,1.99,,,1,1,0,1,1,3.29,5,,3,1,2.29,Colonial Bread,1,1,0,1,1,3.29,4,,1,1,2.69,8oz,1,1,0,1,1,2.99,3,,1,1,3.39,Apple Cinnamon,3,12,3,5,4,3,2,2,5,25,8,6,39
4/6/2016,g003,12,1,1,1,1,0,2.19,3.59,2.19,3.79,1,,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.59,,1,1,2,1.49,,1,,1,1,1,1,,1,,1,1,2,1.48,,1,,1,1,1,1.5,,1,1,2,2.69,,1,1,2,2,,1,1,1,4.99,,1,1,1,3.99,,1,,1,1,2,1.69,,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.69,,1,1,2,1.99,,1,,1,1,2,0.59,,1,1,2,1.19,,1,1,1,0.99,,1,,1,1,1,0.25,sale: 4 for $1.00,1,1,1,1.49,,1,1,1,0.5,,1,,1,1,2,0.49,,1,,1,1,1,2.99,,0,1,1,1,0,,,,6.49,10,,5.39,15,,4.29,20,,0,1,1,0,0,,,,,,,,3.49,15,8,13,160,480,,1.99,16,10,7,90,410,,,,,,,,,1,1,0,0,0,1,2.19,11,8,320,10 1/2 ounce,2.69,9,4,260,9.75,,,,,unavailable,2.79,11,12,360,10 1/2 ounce,2.99,16,10,390,16 ounce,2.79,9,17,350,9 7/8 ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,2.99,12,1,100,12 count mini bagels,,,,,,,,,,,,5.29,4,21,450,,,,,,,1,1,1,1,1,1,1,0,4.5,,,,,,4.5,,,,,,1,4.99,,,1,2.99,,,1,1.75,,,1,1,0,1,1,3.49,5,,3,1,2.29,Colonial Old Fashioned,1,1,0,1,1,3.29,4,,1,1,2.69,,1,1,0,1,1,2.99,3,,1,1,2.99,Honey Nut Cheerios,4,12,3,3,4,3,2,2,4,24,7,6,37
3/29/2016,g004,4,1,0,1,1,0,1.99,3.29,3.45,3.59,2,Prairie Farms,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,0.69,,1,1,2,1.39,,1,,1,1,1,1.09,,1,,1,1,2,1.26,,1,,1,1,1,3.99,,1,1,2,3.69,,1,1,2,2,,1,1,1,5.99,,,,,,,,,1,1,2,1.89,,1,,1,1,1,1,1,0,1,1,1,1,0,1,1,2,0.79,,1,1,2,1.69,,1,,1,1,2,0.59,,1,1,1,2.49,,1,1,1,1.89,,1,,,,,,,1,1,1,1.59,,1,1,1,1.29,,1,,1,1,2,0.69,,1,,1,1,1,3.69,,0,0,0,1,0,,,,,,,,,,1.98,27,fat unknown sign states 73% lean,0,1,0,0,0,,,,,,,,3.49,15,8,13,160,480,,,,,,,,,,,,,,,,1,1,0,0,0,1,,,,,unavailable,,,,,unavailable,,,,,unavailable,3.5,11,12,360,10 1/2 ounces,,,,,unavailable,,,,,unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,3.5,,,,,,3.5,,,,,,3,6.09,,,3,,3.69,ocean spray 64 ounce,3,,3.99,ocean spray 64 ounce,1,1,0,1,1,2.99,2,,3,1,1.99,Wonder White Bread,1,1,0,2,1,3.29,2,,1,1,2.5,,1,1,0,1,1,3,3,,1,1,3,Honey nut cheerios,4,10,0,0,0,6,1,1,4,15,5,6,26
3/31/2016,g005,5,1,0,1,1,0,1.99,3.59,2.19,3.59,2,Prarie Farms,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,0.5,,1,1,2,1,,1,,1,1,1,0.25,,1,,1,1,2,1.98,,1,,1,1,1,2.98,,2,1,2,2.99,,1,1,2,2.5,,,,,,,,,,,,,,2,1,2,1.89,,1,,1,1,1,1,1,0,1,1,1,1,0,1,1,2,0.79,,1,1,2,1.99,,1,,1,1,2,0.99,,1,1,2,1.48,,1,1,1,2.09,,1,,,,,,,1,1,1,0.98,,1,1,1,1.39,,1,,1,1,2,0.69,,1,,1,1,1,2.48,,0,0,0,1,0,,,,,,,,,,4.18,20,,0,1,1,0,0,,,,,,,,5,30,16,13,160,480,,2.99,16,10,7,90,410,Oscar Mayer Wieners,,,,,,,,1,1,0,0,0,1,,,,,unavailable,,,,,unavailable,3.5,9,7,240,9 3/8 ounce,3.5,11,12,360,10 1/2 ounce,,,,,unavailable,3.5,9,17,350,9 7/8 ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,2.79,3,11,220,serving size is 1/2 muffin,,,,,,1,1,1,1,1,1,1,0,4.99,,,,,,4.99,,,,,,1,4.99,,,1,4.69,,,1,2.29,,,1,1,0,1,1,2.59,3,,3,1,1.99,Wonder,1,1,0,1,1,3.29,1,,1,1,3.29,,1,1,0,1,1,3.79,3,,1,3,3.99,Honey Nut Cheerios; 17 ounce,3,10,0,2,0,3,2,1,2,18,-1,6,23
4/6/2016,g007,6,1,1,1,1,0,1.69,3.19,2.09,3.89,2,LuVel,2,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0.69,,1,1,2,1.29,,1,,1,3,1,1,,1,,1,1,2,3.69,,1,,1,1,1,3,,1,1,2,1.98,,1,1,2,3,,,,,,,1,1,1,5.98,,1,,1,1,2,1.59,,1,,1,1,1,1,1,0,1,1,1,1,0,1,1,2,0.79,,1,1,2,1.99,,1,,1,1,2,0.89,,1,1,2,1.28,,1,1,1,2,,1,,,,,,,1,1,1,1.79,,1,1,1,0.79,,1,,1,1,2,0.59,,1,,1,1,1,2.79,,0,0,0,1,0,,,,,,,,,,3.87,27,,0,0,1,1,0,,,,,,,,,,,,,,,1.99,16,10,7,90,410,Oscar Mayer Classic Wieners,5.19,15,8,15,180,570,Bryan Beefy Jumbo's Frank,1,1,0,0,0,1,2.99,11,8,320,10 1/2 oz,,,,,Do not sale,3.69,9,7,240,9 3/8 oz,3.69,11,12,360,10 1/2 oz,,,,,Do not sale,3.69,9,17,350,9 7/8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,3.89,3,8,200,,,,,,,1,1,1,1,1,1,1,0,4,,,,,,4,,,,,,1,4.99,,,1,3.99,,,1,2.19,,,1,1,0,1,1,2.5,2,,3,1,2,Wonder Bread,0,1,0,,,,,,1,1,3.29,,1,1,0,1,1,4.89,3,,1,1,4.89,12 1/4 oz Honey Nut,4,10,3,4,0,3,1,0,4,16,7,6,29
3/30/2016,g008,5,0,0,1,1,0,1.99,3.88,1.99,3.88,2,Prairie Farm Milk,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,0.69,,1,1,2,0.99,,1,,1,2,1,1,,1,,1,1,2,3.99,,1,,1,1,1,1.98,,1,1,2,3.99,,1,1,2,2.99,,,,,,,1,1,1,5.98,,1,,,,,,,,,1,1,1,1,1,0,1,1,1,0,0,1,1,2,0.89,,1,1,2,1.99,,1,,1,1,2,0.79,,1,1,2,1.28,,1,1,1,1.79,,1,,,,,,,1,1,1,0.99,,1,1,1,0.99,,1,,1,1,2,0.79,,1,,,,,,,0,0,0,1,0,,,,,,,,,,4.37,20,,0,0,1,1,0,,,,,,,,,,,,,,,1.99,16,10,7,90,410,Oscar Mayer Classic Wieners,3.99,15,8,15,180,570,Bryan Beefy Jumbo's Frank,0,1,0,0,0,,,,,,,,,,,,,,,,,3.65,12,,,Out of stock,,,,,Do not sale,3.69,9,,,9 8/7 oz Out of stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,3.29,3,11,220,,,,,,,1,0,1,0,1,1,1,0,4.5,,,,,,4.5,,,,,,1,4.49,,,1,3.49,,,1,1.99,,,1,1,0,1,1,2.5,2,,3,1,2.5,Bunny Giant,0,1,0,,,,,,1,1,2.79,,1,1,0,1,1,4.89,3,,1,3,5.79,17oz Honey Nut,1,10,3,0,0,3,3,0,2,12,4,6,22
4/12/2016,g009,9,1,0,1,1,0,2.19,3.99,2.19,2.77,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.59,,1,1,2,1.59,,1,,1,1,1,0.99,,1,,1,1,2,2.99,,1,,1,1,1,3.99,,1,1,2,2.99,,1,1,2,2.5,,1,1,1,4.79,,1,1,1,6.99,,1,,1,1,2,1.99,,1,,1,1,1,1,1,0,1,1,1,1,0,1,1,2,1.19,,1,1,2,1.99,,1,,1,1,2,0.79,,1,1,1,2.29,,1,1,1,0.99,,1,,,,,,,1,1,1,1.79,,1,1,1,1.29,,1,,1,1,2,0.59,,1,,1,1,1,2.99,,1,0,0,1,0,4.99,5,,,,,,,,3.19,20,,0,1,1,0,0,,,,,,,,3.49,15,8,13,160,480,,3.19,16,10,7,90,410,Oscar Mayer Wieners,,,,,,,,1,1,0,0,0,1,3,12,7,350,11 1/2 ounce,3.49,8,6,190,,,,,,Unavailable,4.39,19,8,230,19 ounces 2 1/2 servings,,,,,Unavailable,3.49,9,16,320,9 7/8 ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1.29,1,11,220,,,,,,,1,1,1,1,1,1,1,0,4.99,,,,,,4.99,,,,,,1,5.99,,,1,4.49,,,1,2.29,,,1,1,0,1,1,3.29,2,,3,1,2.5,Bunny King,1,1,0,1,1,3.29,1,,1,1,2.5,,1,1,0,1,1,3.29,3,,1,1,3.29,Honey Nut Cheerios,1,11,4,1,0,3,1,1,4,21,-1,6,26
4/13/2016,g010,33,1,1,1,1,0,2.13,3.56,2.13,3.56,1,,3,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.54,,1,1,2,1.47,,1,,1,1,1,0.68,,1,,1,1,2,3.98,,1,,1,1,1,1.98,,1,1,2,2.48,,1,1,2,1.98,,1,1,1,2.98,,1,1,1,5.98,,1,,1,1,2,1.47,,1,,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1.68,,1,1,2,1.98,,1,,1,1,2,0.98,,1,1,1,1.98,,1,1,1,0.98,,1,,1,1,1,0.75,,1,1,1,1.78,,1,1,1,0.78,,1,,1,1,2,0.58,,1,,1,1,1,2.97,,1,1,1,1,0,5.38,7,,4.64,10,,4.42,15,,2.99,27,,0,1,1,0,0,,,,,,,,2.98,15,8,13,160,480,,2.5,16,10,7,90,410,Oscar Mayer Classic Wieners,,,,,,,,1,1,0,0,0,3,2,11,8,320,10 1/2 oz,2.5,9,3.5,260,9 7/5 oz sold out,2.5,9,7,240,9 3/8 oz sold out,2.5,11,12,360,10 1/2 oz,2.5,9,5,250,9 5/8 oz,2.5,9,17,350,9 7/8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1.98,5,2,250,,,,,,,,,,,,,3.98,4,19,370,,,,,,,1,1,1,1,1,1,1,0,4.48,,,,,,4.48,,,,,,1,4.98,,,1,3.34,,,1,1.5,,,1,1,0,1,1,2.88,3,,3,1,2.68,Bunny,1,1,0,1,1,2.98,5,,1,1,2.48,,1,1,0,1,1,2.98,3,,1,1,2.98,12 1/4 oz Honey Nut,4,12,4,5,4,3,2,2,4,28,6,6,40
4/8/2016,g011,36,1,1,1,1,0,1.8,3,2.16,3.6,1,,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0.54,,1,1,2,1.47,,1,,1,1,1,0.68,,1,,1,1,2,2.48,,1,,1,1,1,1.98,,1,1,2,2.48,,2,1,2,3.98,,1,1,1,2.98,,1,1,1,3.68,small seedless watermelons,1,,1,1,2,1.67,,1,,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1.68,,1,1,2,1.98,,1,,1,1,2,0.98,,1,1,2,1.64,,1,1,1,0.98,,1,,1,1,1,0.5,,1,1,1,1.78,,1,1,1,0.78,,1,,1,1,2,0.58,,1,,1,1,1,2.97,,1,1,0,1,0,4.47,7,,5.28,10,,,,,3.48,20,,0,1,1,0,0,,,,,,,,2.98,15,8,13,160,480,,2.5,16,10,7,90,410,Oscar Mayer Wieners,,,,,,,,1,1,0,0,0,1,2,11,8,320,10 1/2 ounce,2.5,9,4,260,9 3/4 ounce,2.5,9,7,240,9 3/8 ounce,2.5,11,12,360,10 1/2 ounce,2.5,9,5,250,9 5/8 ounce,2.5,9,17,350,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,2.98,6,1,260,,,,,,,,,,,,,3.98,4,19,350,,,,,,,1,1,1,1,1,1,1,0,4.48,,,,,,4.48,,,,,,1,4.98,,,1,3.34,,,1,1.5,,,1,1,0,1,1,2.53,5,,3,1,2.48,Bunny,1,1,0,1,1,2.98,4,,1,1,2.48,,1,1,0,1,3,3.68,3,18 ounce,1,1,2.98,Honey Nut Cheerios,4,12,4,5,4,3,2,2,5,27,8,6,41
